Data Nr.,packet_id,date,time,gw1,gw2,gw3,gw4,location,floor
1,3,"[2023, 5, 3]","[10, 16, 30]",-,-,-108,-,U,0
2,4,"[2023, 5, 3]","[10, 16, 41]",-,-,-,-,U,0
3,5,"[2023, 5, 3]","[10, 16, 52]",-108,-,-,-,U,0
4,6,"[2023, 5, 3]","[10, 17, 3]",-113,-,-,-,U,0
5,7,"[2023, 5, 3]","[10, 28, 32]",-114,-108,-97,-112,S1,0
6,9,"[2023, 5, 3]","[10, 28, 51]",-,-106,-99,-113,S1,0
7,10,"[2023, 5, 3]","[10, 28, 59]",-,-106,-100,-114,S1,0
8,11,"[2023, 5, 3]","[10, 30, 13]",-,-106,-90,-97,S0,0
9,12,"[2023, 5, 3]","[10, 30, 21]",-,-109,-93,-97,S0,0
10,13,"[2023, 5, 3]","[10, 30, 28]",-,-101,-93,-96,S0,0
11,14,"[2023, 5, 3]","[10, 30, 37]",-,-97,-89,-97,S0,0
12,15,"[2023, 5, 3]","[10, 31, 46]",-,-85,-83,-101,C,0
13,16,"[2023, 5, 3]","[10, 31, 53]",-,-83,-79,-102,C,0
14,17,"[2023, 5, 3]","[10, 32, 0]",-,-79,-91,-91,C,0
15,18,"[2023, 5, 3]","[10, 32, 7]",-,-99,-79,-102,C,0
16,19,"[2023, 5, 3]","[10, 33, 45]",-,-99,-79,-101,N0,0
17,20,"[2023, 5, 3]","[10, 33, 52]",-,-96,-76,-97,N0,0
18,21,"[2023, 5, 3]","[10, 33, 59]",-,-91,-81,-95,N0,0
19,22,"[2023, 5, 3]","[10, 34, 7]",-,-91,-79,-93,N0,0
20,23,"[2023, 5, 3]","[10, 35, 41]",-,-72,-82,-107,N1,0
21,24,"[2023, 5, 3]","[10, 35, 48]",-114,-91,-90,-109,N1,0
22,25,"[2023, 5, 3]","[10, 36, 1]",-,-83,-97,-107,N1,0
23,26,"[2023, 5, 3]","[10, 36, 8]",-,-72,-87,-109,N1,0
24,27,"[2023, 5, 3]","[10, 39, 57]",-,-,-,-,H,0
25,28,"[2023, 5, 3]","[10, 40, 4]",-,-,-,-,H,0
26,29,"[2023, 5, 3]","[10, 40, 11]",-,-,-,-,H,0
27,30,"[2023, 5, 3]","[10, 40, 20]",-,-,-,-,H,0
28,31,"[2023, 5, 3]","[10, 43, 41]",-,-92,-,-,E,0
29,32,"[2023, 5, 3]","[10, 43, 50]",-,-100,-,-,E,0
30,33,"[2023, 5, 3]","[10, 43, 58]",-,-96,-,-,E,0
31,34,"[2023, 5, 3]","[10, 44, 6]",-,-97,-,-,E,0
32,35,"[2023, 5, 3]","[10, 47, 24]",-,-99,-85,-99,W,0
33,36,"[2023, 5, 3]","[10, 47, 32]",-,-95,-93,-105,W,0
34,37,"[2023, 5, 3]","[10, 47, 41]",-,-93,-83,-97,W,0
35,38,"[2023, 5, 3]","[10, 47, 49]",-,-94,-83,-101,W,0
36,39,"[2023, 5, 3]","[10, 51, 13]",-95,-108,-97,-112,U,1
37,40,"[2023, 5, 3]","[10, 51, 22]",-97,-106,-97,-112,U,1
38,41,"[2023, 5, 3]","[10, 51, 30]",-96,-106,-102,-113,U,1
39,42,"[2023, 5, 3]","[10, 51, 37]",-,-104,-96,-108,U,1
40,43,"[2023, 5, 3]","[10, 55, 57]",-110,-103,-89,-113,S1,1
